domain,pair_key,word_1,word_2,spam_distance_mean,n_subjects
animals,bear||lion,bear,lion,0.3115263280191231,5
animals,bear||tiger,bear,tiger,0.31200579675810064,5
animals,billi||kutta,billi,kutta,0.11424559781741182,7
animals,billi||sher,billi,sher,0.3093384812334746,7
animals,cat||deer,cat,deer,0.33765731547300387,5
animals,cat||dog,cat,dog,0.14696724213360593,8
animals,cat||elephant,cat,elephant,0.4748738625082018,6
animals,cat||fox,cat,fox,0.26154158937856814,5
animals,cat||goat,cat,goat,0.40920311749050564,5
animals,cat||horse,cat,horse,0.24988089799691854,5
animals,cat||lion,cat,lion,0.26359813304049057,8
animals,cat||tiger,cat,tiger,0.2835913947130243,7
animals,cow||lion,cow,lion,0.4887234408144776,5
animals,deer||dog,deer,dog,0.391727341225414,5
animals,deer||fox,deer,fox,0.34725004745534976,5
animals,deer||lion,deer,lion,0.5401977805209203,6
animals,deer||tiger,deer,tiger,0.4445331939873978,6
animals,dog||elephant,dog,elephant,0.5349280471224664,6
animals,dog||fox,dog,fox,0.1789700536403398,5
animals,dog||goat,dog,goat,0.4192973321758914,5
animals,dog||horse,dog,horse,0.24454963046591766,5
animals,dog||lion,dog,lion,0.29541141760037826,8
animals,dog||tiger,dog,tiger,0.3642795750277938,7
animals,elephant||lion,elephant,lion,0.49569995069202566,6
animals,elephant||tiger,elephant,tiger,0.44615870683696296,5
animals,fox||lion,fox,lion,0.35483218866115485,5
animals,fox||tiger,fox,tiger,0.36403277794295086,5
animals,goat||horse,goat,horse,0.37478808271528574,5
animals,goat||lion,goat,lion,0.3842052967456961,6
animals,goat||tiger,goat,tiger,0.4254962204016531,5
animals,horse||lion,horse,lion,0.3478726783706834,6
animals,horse||tiger,horse,tiger,0.32225818596023476,6
animals,kutta||sher,kutta,sher,0.2758774274807796,9
animals,lion||tiger,lion,tiger,0.17239127297646714,9
animals,कुत्ता||गाय,कुत्ता,गाय,0.1689186262328067,6
animals,कुत्ता||बिल्ली,कुत्ता,बिल्ली,0.15172376652473907,9
animals,कुत्ता||शेर,कुत्ता,शेर,0.4229479192042343,11
animals,कुत्ता||हाथी,कुत्ता,हाथी,0.42768831923888434,7
animals,गाय||बिल्ली,गाय,बिल्ली,0.2547860893183047,5
animals,गाय||भैंस,गाय,भैंस,0.044802411087851914,5
animals,गाय||शेर,गाय,शेर,0.33728048893832513,6
animals,गाय||हाथी,गाय,हाथी,0.31645922579444846,5
animals,बाघ||शेर,बाघ,शेर,0.061624938198049636,5
animals,बाघ||हाथी,बाघ,हाथी,0.30242484483898735,5
animals,बिल्ली||शेर,बिल्ली,शेर,0.3824231366522649,8
animals,बिल्ली||हाथी,बिल्ली,हाथी,0.3732247737545952,5
animals,शेर||हाथी,शेर,हाथी,0.24011429363945636,9
foods,चावल||दाल,चावल,दाल,0.09704059072321419,9
foods,चावल||रोटी,चावल,रोटी,0.157796214821342,6
foods,दाल||रोटी,दाल,रोटी,0.19637227504578955,6
colours,black||blue,black,blue,0.6036296690615633,6
colours,black||brown,black,brown,0.3419099450686499,5
colours,black||green,black,green,0.7158890152024828,7
colours,black||orange,black,orange,0.6888491468145795,6
colours,black||pink,black,pink,0.6862816079442385,7
colours,black||red,black,red,0.6846569291608887,7
colours,black||violet,black,violet,0.5744112186164573,5
colours,black||white,black,white,0.7979439234000864,7
colours,black||yellow,black,yellow,0.5389858910499802,6
colours,blue||brown,blue,brown,0.6535363471736547,5
colours,blue||green,blue,green,0.3073807038189939,6
colours,blue||orange,blue,orange,0.5773162842145465,5
colours,blue||pink,blue,pink,0.4116706772605884,6
colours,blue||red,blue,red,0.5200775267972054,6
colours,blue||violet,blue,violet,0.1671687514086028,5
colours,blue||white,blue,white,0.7016571356473191,6
colours,blue||yellow,blue,yellow,0.4507446480102931,5
colours,brown||green,brown,green,0.7194673574100928,5
colours,brown||pink,brown,pink,0.6403718635627849,5
colours,brown||red,brown,red,0.514953302279865,5
colours,brown||white,brown,white,0.8195487178210913,5
colours,green||orange,green,orange,0.5442457623768912,6
colours,green||pink,green,pink,0.4395701909985305,7
colours,green||red,green,red,0.47192217498298356,7
colours,green||violet,green,violet,0.40328460119684983,5
colours,green||white,green,white,0.444135440096505,7
colours,green||yellow,green,yellow,0.33252750504376843,6
colours,orange||pink,orange,pink,0.34590822105406166,6
colours,orange||red,orange,red,0.2633450217753166,6
colours,orange||white,orange,white,0.6280017729247387,6
colours,orange||yellow,orange,yellow,0.3744064072945043,5
colours,pink||red,pink,red,0.28670866550732954,7
colours,pink||violet,pink,violet,0.42469536658966456,5
colours,pink||white,pink,white,0.5845029553762221,7
colours,pink||yellow,pink,yellow,0.508994492866307,6
colours,red||violet,red,violet,0.5644934640141668,5
colours,red||white,red,white,0.594743717130382,7
colours,red||yellow,red,yellow,0.4653312373230962,6
colours,violet||white,violet,white,0.7989234127546861,5
colours,white||yellow,white,yellow,0.4281004435033043,6
body-parts,आँख||कान,आँख,कान,0.09163318681617853,6
body-parts,आँख||नाक,आँख,नाक,0.08763173974923251,6
body-parts,आँख||पैर,आँख,पैर,0.3471270416727378,7
body-parts,आँख||हाथ,आँख,हाथ,0.2841095478066389,8
body-parts,कान||नाक,कान,नाक,0.08714247203982384,9
body-parts,कान||पैर,कान,पैर,0.2680837122635203,6
body-parts,कान||हाथ,कान,हाथ,0.3148485782644179,9
body-parts,नाक||पैर,नाक,पैर,0.28307109869103914,6
body-parts,नाक||हाथ,नाक,हाथ,0.23654734677696757,9
body-parts,पैर||हाथ,पैर,हाथ,0.14026156501420886,8
